cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33
RECAL 3 1 652 64 4 80,-2829,-283417,-282154,-280053,-275562,-266336,-249333,-228039,-206591,-187115,-170445,-155563,-143917,-135478,-130264,-128296,-129682,-134359,-142454,-153964,-169000,-186328,-207003,-230374,-253384,-270300,-278174,-281301,-282932,-283771,-283647,-284193,-284067,-283992
RECAL 3 0 9999 64 4 80,-2326,-204670,-195607,-187466,-180491,-173291,-166530,-160563,-155152,-150471,-146433,-143017,-140285,-138199,-136776,-136022,-135938,-136490,-137719,-139584,-142116,-145295,-149165,-153589,-158789,-164636,-171145,-178393,-185329,-193057,-201908,-211378,-221535,-231826
RECAL 3 1 -2267 64 4 80,-2867,-283466,-282740,-281638,-278758,-272566,-259571,-239650,-218044,-197335,-180145,-164182,-151242,-141526,-135145,-131977,-132178,-135829,-142944,-153555,-167709,-184639,-204339,-226961,-250197,-268305,-277430,-281501,-283164,-283824,-283863,-284802,-284028,-284310
RECAL 3 0 9999 64 4 80,-2419,-201454,-191926,-183650,-175813,-167965,-160927,-154651,-149143,-144308,-140158,-136732,-134013,-132000,-130717,-130106,-130219,-131061,-132610,-134908,-137944,-999999,-146189,-151471,-157569,-164353,-171915,-180183,-188105,-197339,-207387,-218119,-229199,-240536
RECAL 3 1 -2362 64 4 80,-2242,-279290,-274907,-267017,-253812,-237331,-220300,-203575,-188419,-175510,-162918,-152255,-143519,-136759,-132012,-129350,-128692,-130094,-133516,-139103,-146760,-156498,-168362,-182063,-196459,-213501,-231467,-249226,-264323,-273648,-278614,-280976,-282739,-283281
RECAL 3 0 9999 64 4 80,-2437,-192514,-183716,-175417,-167029,-159457,-152601,-146512,-141168,-136528,-132624,-129480,-127064,-125341,-124391,-124168,-124647,-125934,-127893,-130581,-134030,-138247,-143176,-148874,-155312,-162560,-170573,-179307,-187750,-197517,-208233,-219624,-231215,-242926
RECAL 3 1 -2382 64 4 80,-1335,-204654,-194730,-185857,-177818,-169453,-161811,-154817,-148555,-142991,-138120,-133976,-130563,-127849,-125859,-124573,-124003,-124154,-124999,-126588,-128835,-131765,-135392,-139656,-144556,-150131,-156332,-163197,-170647,-178730,-186361,-194906,-204323,-214043
RECAL 3 0 9999 64 4 80,-2362,-193364,-184885,-177039,-168998,-161654,-154990,-149046,-143758,-139085,-135091,-131821,-129246,-127338,-126112,-125607,-125790,-126651,-128214,-130473,-133414,-137074,-141416,-146489,-152220,-158645,-165761,-173569,-181730,-189750,-199152,-209207,-219770,-230645
RECAL 3 1 -2305 64 4 80,1221,-215575,-205811,-196467,-187824,-999999,-172421,-164923,-158017,-151707,-146113,-141107,-136778,-133140,-130200,-127929,-126417,-125571,-125455,-126092,-127424,-129551,-132381,-136005,-140358,-145451,-151268,-157846,-165223,-173354,-181910,-190345,-200045,-210524
RECAL 3 0 9999 64 4 80,-2378,-191566,-183455,-175637,-167875,-160793,-154360,-148662,-143617,-139223,-135494,-132444,-130066,-128369,-127345,-127037,-127404,-128471,-130255,-132716,-135830,-139717,-144259,-149497,-155453,-162170,-169536,-177694,-185521,-194110,-203764,-214213,-224835,-235812
